DBN,Category,Total Enrollment
02M347,Attend school outside district of residence,113.0
02M347,English Language Learners,12.0
02M347,Poverty,102.0
02M347,Reside in temporary housing,17.0
02M347,Students with Disabilities,84.0
02M397,All Students,408.0
02M397,Attend school outside district of residence,26.0
02M397,English Language Learners,9.0
02M397,Poverty,45.0
02M397,Reside in temporary housing,
02M397,Students with Disabilities,61.0
02M407,All Students,202.0
02M407,Attend school outside district of residence,179.0
02M407,Reside in temporary housing,
02M407,Students with Disabilities,13.0
02M408,All Students,94.0
02M408,Attend school outside district of residence,68.0
02M408,Poverty,16.0
02M408,Reside in temporary housing,
02M408,Students with Disabilities,
02M413,All Students,308.0
02M413,Attend school outside district of residence,82.0
02M413,English Language Learners,
02M413,Poverty,121.0
02M413,Reside in temporary housing,17.0
02M413,Students with Disabilities,57.0
02M422,All Students,312.0
02M422,Attend school outside district of residence,43.0
02M422,English Language Learners,10.0
02M422,Poverty,136.0
02M422,Reside in temporary housing,17.0
02M422,Students with Disabilities,100.0
02M442,All Students,152.0
02M442,Attend school outside district of residence,150.0
02M442,Poverty,152.0
02M442,Reside in temporary housing,
02M442,Students with Disabilities,
03M145,Attend school outside district of residence,54.0
02M527,All Students,231.0
02M527,Attend school outside district of residence,
02M527,English Language Learners,
02M527,Poverty,24.0
02M527,Reside in temporary housing,
02M527,Students with Disabilities,39.0
02M655,All Students,79.0
02M655,Attend school outside district of residence,71.0
02M655,English Language Learners,
02M655,Poverty,69.0
02M655,Reside in temporary housing,13.0
02M655,Students with Disabilities,29.0
02M896,All Students,388.0
02M896,Attend school outside district of residence,130.0
02M896,English Language Learners,30.0
02M896,Poverty,388.0
02M896,Reside in temporary housing,29.0
02M896,Students with Disabilities,109.0
02M933,All Students,157.0
02M933,Attend school outside district of residence,19.0
02M933,English Language Learners,11.0
02M933,Poverty,157.0
02M933,Reside in temporary housing,15.0
02M933,Students with Disabilities,43.0
03M145,All Students,319.0
03M009,All Students,593.0
03M009,Attend school outside district of residence,33.0
03M009,English Language Learners,17.0
03M009,Poverty,126.0
03M009,Reside in temporary housing,48.0
03M009,Students with Disabilities,85.0
03M054,All Students,850.0
03M054,Attend school outside district of residence,113.0
03M054,English Language Learners,14.0
03M054,Poverty,850.0
03M054,Reside in temporary housing,15.0
03M054,Students with Disabilities,101.0
03M075,All Students,569.0
03M075,Attend school outside district of residence,200.0
03M075,English Language Learners,75.0
03M075,Poverty,399.0
03M075,Reside in temporary housing,80.0
03M075,Students with Disabilities,162.0
03M076,All Students,454.0
03M076,Attend school outside district of residence,241.0
03M076,English Language Learners,47.0
03M076,Poverty,418.0
03M163,Reside in temporary housing,50.0
03M076,Reside in temporary housing,122.0
03M076,Students with Disabilities,91.0
03M145,English Language Learners,48.0
03M084,All Students,516.0
03M084,Attend school outside district of residence,164.0
03M084,English Language Learners,54.0
03M084,Poverty,270.0
03M084,Reside in temporary housing,45.0
03M084,Students with Disabilities,85.0
03M087,All Students,834.0
03M087,Attend school outside district of residence,68.0
03M087,English Language Learners,32.0
03M087,Poverty,60.0
03M087,Reside in temporary housing,
03M087,Students with Disabilities,139.0
03M145,Poverty,319.0
03M145,Reside in temporary housing,73.0
03M145,Students with Disabilities,82.0
03M149,All Students,258.0
03M149,Attend school outside district of residence,80.0
03M149,English Language Learners,26.0
03M149,Poverty,237.0
03M149,Reside in temporary housing,58.0
03M149,Students with Disabilities,83.0
03M163,All Students,558.0
03M163,Attend school outside district of residence,98.0
03M163,English Language Learners,43.0
03M163,Poverty,269.0
03M163,Students with Disabilities,84.0
03M165,All Students,747.0
03M165,Attend school outside district of residence,219.0
03M165,English Language Learners,129.0
03M165,Poverty,542.0
03M165,Reside in temporary housing,167.0
03M165,Students with Disabilities,154.0
03M166,All Students,614.0
03M166,Attend school outside district of residence,27.0
03M166,English Language Learners,14.0
03M166,Poverty,120.0
03M166,Reside in temporary housing,28.0
03M166,Students with Disabilities,80.0
03M415,English Language Learners,
03M180,All Students,526.0
03M180,Attend school outside district of residence,173.0
03M180,English Language Learners,28.0
03M180,Poverty,376.0
03M180,Reside in temporary housing,68.0
03M180,Students with Disabilities,104.0
03M185,All Students,183.0
03M185,Attend school outside district of residence,32.0
03M185,English Language Learners,18.0
03M185,Poverty,167.0
03M185,Reside in temporary housing,19.0
03M185,Students with Disabilities,48.0
03M191,All Students,388.0
03M191,Attend school outside district of residence,114.0
03M191,English Language Learners,36.0
03M191,Poverty,318.0
03M191,Reside in temporary housing,73.0
03M191,Students with Disabilities,116.0
03M199,All Students,903.0
03M199,Attend school outside district of residence,21.0
03M199,English Language Learners,26.0
03M199,Poverty,63.0
03M199,Reside in temporary housing,6.0
03M199,Students with Disabilities,129.0
03M208,All Students,141.0
03M208,Attend school outside district of residence,32.0
03M208,English Language Learners,15.0
03M208,Poverty,134.0
03M208,Reside in temporary housing,27.0
03M208,Students with Disabilities,39.0
03M241,All Students,112.0
03M241,Attend school outside district of residence,26.0
03M241,English Language Learners,15.0
03M241,Poverty,104.0
03M241,Reside in temporary housing,15.0
03M241,Students with Disabilities,42.0
03M242,All Students,196.0
03M242,Attend school outside district of residence,110.0
03M242,English Language Learners,14.0
03M242,Poverty,164.0
03M242,Reside in temporary housing,65.0
03M242,Students with Disabilities,64.0
03M243,All Students,236.0
06M173,Reside in temporary housing,31.0
03M243,Attend school outside district of residence,90.0
03M243,Poverty,236.0
03M243,Reside in temporary housing,
03M243,Students with Disabilities,23.0
03M245,All Students,405.0
03M245,Attend school outside district of residence,86.0
03M245,English Language Learners,13.0
03M245,Poverty,405.0
03M245,Reside in temporary housing,9.0
03M245,Students with Disabilities,73.0
03M247,All Students,195.0
03M247,Attend school outside district of residence,102.0
03M247,English Language Learners,61.0
05M286,Reside in temporary housing,20.0
03M247,Poverty,195.0
03M247,Reside in temporary housing,21.0
03M247,Students with Disabilities,42.0
03M250,All Students,181.0
03M250,Attend school outside district of residence,61.0
03M250,English Language Learners,10.0
03M250,Poverty,181.0
03M250,Reside in temporary housing,31.0
03M250,Students with Disabilities,46.0
03M256,All Students,138.0
03M256,Attend school outside district of residence,61.0
03M256,English Language Learners,26.0
03M256,Poverty,138.0
03M256,Reside in temporary housing,26.0
03M256,Students with Disabilities,40.0
03M258,All Students,235.0
03M258,Attend school outside district of residence,98.0
03M258,English Language Learners,7.0
03M258,Poverty,235.0
03M258,Reside in temporary housing,32.0
03M258,Students with Disabilities,76.0
03M291,All Students,136.0
03M291,Attend school outside district of residence,15.0
03M291,English Language Learners,
03M291,Poverty,24.0
03M291,Reside in temporary housing,
03M291,Students with Disabilities,32.0
03M415,Poverty,46.0
03M333,All Students,741.0
03M333,Attend school outside district of residence,136.0
03M333,English Language Learners,7.0
03M333,Poverty,104.0
03M333,Reside in temporary housing,6.0
03M333,Students with Disabilities,136.0
03M334,All Students,559.0
03M334,Attend school outside district of residence,364.0
03M334,English Language Learners,
03M334,Poverty,55.0
03M334,Reside in temporary housing,
03M334,Students with Disabilities,18.0
03M415,All Students,46.0
03M415,Attend school outside district of residence,37.0
03M415,Reside in temporary housing,13.0
03M415,Students with Disabilities,17.0
03M421,All Students,190.0
03M421,Attend school outside district of residence,62.0
03M421,English Language Learners,9.0
03M421,Poverty,190.0
03M421,Reside in temporary housing,24.0
03M421,Students with Disabilities,60.0
03M452,All Students,325.0
03M452,Attend school outside district of residence,29.0
03M452,English Language Learners,7.0
03M452,Poverty,41.0
03M452,Reside in temporary housing,6.0
03M452,Students with Disabilities,59.0
03M862,English Language Learners,7.0
03M862,Reside in temporary housing,14.0
03M859,All Students,137.0
03M859,Attend school outside district of residence,88.0
03M859,Poverty,9.0
03M859,Reside in temporary housing,
03M859,Students with Disabilities,16.0
03M860,All Students,69.0
03M860,Attend school outside district of residence,31.0
03M860,English Language Learners,
03M860,Poverty,50.0
03M860,Reside in temporary housing,12.0
03M860,Students with Disabilities,17.0
03M862,All Students,345.0
03M862,Attend school outside district of residence,135.0
03M862,Poverty,345.0
04M825,English Language Learners,21.0
03M862,Students with Disabilities,64.0
04M007,All Students,344.0
04M007,Attend school outside district of residence,92.0
04M007,English Language Learners,46.0
04M007,Poverty,344.0
04M007,Reside in temporary housing,86.0
04M007,Students with Disabilities,95.0
04M012,All Students,561.0
04M012,Attend school outside district of residence,498.0
04M012,English Language Learners,
04M038,Students with Disabilities,63.0
04M012,Poverty,263.0
04M012,Reside in temporary housing,13.0
04M012,Students with Disabilities,29.0
25Q130,English Language Learners,47.0
04M037,All Students,190.0
04M037,Attend school outside district of residence,115.0
04M037,English Language Learners,9.0
04M037,Poverty,158.0
04M037,Reside in temporary housing,32.0
04M037,Students with Disabilities,47.0
04M038,All Students,225.0
04M038,Attend school outside district of residence,26.0
04M038,English Language Learners,24.0
04M038,Poverty,215.0
04M038,Reside in temporary housing,76.0
04M050,All Students,288.0
04M050,Attend school outside district of residence,53.0
04M050,English Language Learners,28.0
04M050,Poverty,288.0
04M050,Reside in temporary housing,79.0
04M050,Students with Disabilities,83.0
04M057,All Students,815.0
04M057,Attend school outside district of residence,184.0
04M057,English Language Learners,106.0
04M057,Poverty,815.0
04M057,Reside in temporary housing,206.0
04M057,Students with Disabilities,223.0
04M377,English Language Learners,17.0
04M072,All Students,594.0
04M072,Attend school outside district of residence,187.0
04M072,English Language Learners,69.0
04M072,Poverty,554.0
04M072,Reside in temporary housing,165.0
05M030,Students with Disabilities,79.0
04M072,Students with Disabilities,140.0
04M083,All Students,421.0
04M083,Attend school outside district of residence,109.0
04M083,English Language Learners,40.0
04M083,Poverty,379.0
04M083,Reside in temporary housing,52.0
04M083,Students with Disabilities,87.0
29Q283,English Language Learners,
04M096,All Students,441.0
04M096,Attend school outside district of residence,73.0
04M096,English Language Learners,82.0
04M096,Poverty,441.0
04M096,Reside in temporary housing,88.0
04M096,Students with Disabilities,140.0
04M102,All Students,268.0
04M102,Attend school outside district of residence,67.0
04M102,English Language Learners,35.0
04M102,Poverty,234.0
04M102,Reside in temporary housing,22.0
04M102,Students with Disabilities,69.0
04M108,All Students,577.0
04M108,Attend school outside district of residence,123.0
04M108,English Language Learners,77.0
04M108,Poverty,577.0
04M108,Reside in temporary housing,102.0
04M108,Students with Disabilities,163.0
04M112,All Students,308.0
04M112,Attend school outside district of residence,76.0
04M112,English Language Learners,68.0
04M112,Poverty,308.0
04M112,Reside in temporary housing,44.0
04M112,Students with Disabilities,114.0
04M146,All Students,345.0
04M146,Attend school outside district of residence,63.0
04M146,English Language Learners,73.0
04M146,Poverty,327.0
04M146,Reside in temporary housing,91.0
04M146,Students with Disabilities,151.0
04M155,All Students,323.0
04M155,Attend school outside district of residence,85.0
04M155,English Language Learners,137.0
04M155,Poverty,322.0
04M155,Reside in temporary housing,44.0
04M155,Students with Disabilities,113.0
04M171,All Students,699.0
04M377,Poverty,163.0
04M171,Attend school outside district of residence,216.0
04M171,English Language Learners,20.0
04M171,Poverty,699.0
04M171,Reside in temporary housing,66.0
04M171,Students with Disabilities,151.0
04M182,All Students,352.0
04M182,Attend school outside district of residence,86.0
04M182,English Language Learners,125.0
04M182,Poverty,335.0
04M182,Reside in temporary housing,49.0
04M182,Students with Disabilities,82.0
04M206,All Students,484.0
05M318,English Language Learners,
04M206,Attend school outside district of residence,94.0
04M206,English Language Learners,67.0
04M206,Poverty,484.0
04M206,Reside in temporary housing,52.0
04M206,Students with Disabilities,190.0
04M224,All Students,166.0
04M224,Attend school outside district of residence,96.0
04M224,English Language Learners,
04M224,Poverty,166.0
04M224,Reside in temporary housing,13.0
04M224,Students with Disabilities,32.0
05M148,English Language Learners,
04M372,All Students,251.0
04M372,Attend school outside district of residence,66.0
04M372,English Language Learners,64.0
04M372,Poverty,234.0
04M372,Reside in temporary housing,44.0
04M372,Students with Disabilities,81.0
04M375,All Students,271.0
04M375,Attend school outside district of residence,57.0
04M375,English Language Learners,26.0
04M375,Poverty,263.0
04M375,Reside in temporary housing,89.0
04M375,Students with Disabilities,90.0
04M377,All Students,163.0
04M377,Attend school outside district of residence,44.0
04M377,Reside in temporary housing,27.0
04M377,Students with Disabilities,57.0
04M381,All Students,108.0
04M381,Attend school outside district of residence,30.0
04M381,English Language Learners,22.0
04M381,Poverty,108.0
04M381,Reside in temporary housing,24.0
04M381,Students with Disabilities,39.0
04M406,All Students,156.0
04M406,Attend school outside district of residence,59.0
04M406,English Language Learners,17.0
04M406,Poverty,156.0
04M406,Reside in temporary housing,25.0
04M406,Students with Disabilities,60.0
08X014,English Language Learners,31.0
04M497,All Students,183.0
04M497,Attend school outside district of residence,141.0
04M497,English Language Learners,
04M497,Poverty,58.0
04M497,Reside in temporary housing,
04M497,Students with Disabilities,31.0
04M610,All Students,161.0
04M610,Attend school outside district of residence,74.0
04M610,English Language Learners,6.0
04M610,Poverty,140.0
04M610,Reside in temporary housing,10.0
04M610,Students with Disabilities,42.0
07X179,English Language Learners,111.0
04M825,All Students,233.0
04M825,Attend school outside district of residence,54.0
04M825,Poverty,233.0
04M825,Reside in temporary housing,37.0
04M825,Students with Disabilities,59.0
04M964,All Students,328.0
04M964,Attend school outside district of residence,241.0
04M964,English Language Learners,
04M964,Poverty,328.0
04M964,Reside in temporary housing,13.0
04M964,Students with Disabilities,79.0
05M030,All Students,262.0
05M030,Attend school outside district of residence,51.0
05M030,English Language Learners,27.0
05M030,Poverty,241.0
05M030,Reside in temporary housing,67.0
05M036,All Students,394.0
05M036,Attend school outside district of residence,83.0
05M036,English Language Learners,33.0
05M036,Poverty,350.0
05M036,Reside in temporary housing,57.0
05M036,Students with Disabilities,114.0
05M046,All Students,726.0
05M046,Attend school outside district of residence,62.0
05M046,English Language Learners,68.0
05M046,Poverty,667.0
05M046,Reside in temporary housing,127.0
05M046,Students with Disabilities,192.0
05M092,All Students,268.0
05M092,Attend school outside district of residence,37.0
05M092,English Language Learners,35.0
05M092,Poverty,254.0
05M092,Reside in temporary housing,71.0
05M092,Students with Disabilities,76.0
05M123,All Students,520.0
05M123,Attend school outside district of residence,95.0
05M123,English Language Learners,96.0
05M123,Poverty,452.0
05M123,Reside in temporary housing,166.0
05M123,Students with Disabilities,119.0
05M125,All Students,192.0
05M125,Attend school outside district of residence,31.0
05M125,English Language Learners,26.0
05M125,Poverty,162.0
05M125,Reside in temporary housing,33.0
06M152,Attend school outside district of residence,40.0
05M125,Students with Disabilities,49.0
05M129,All Students,442.0
05M129,Attend school outside district of residence,106.0
05M129,English Language Learners,52.0
05M129,Poverty,387.0
05M129,Reside in temporary housing,96.0
05M129,Students with Disabilities,86.0
05M133,All Students,182.0
05M133,Attend school outside district of residence,34.0
05M133,English Language Learners,12.0
05M133,Poverty,164.0
05M133,Reside in temporary housing,59.0
05M133,Students with Disabilities,60.0
05M148,All Students,195.0
05M148,Attend school outside district of residence,112.0
05M148,Poverty,136.0
05M148,Reside in temporary housing,22.0
05M148,Students with Disabilities,46.0
05M154,All Students,289.0
05M154,Attend school outside district of residence,40.0
05M154,English Language Learners,48.0
05M154,Poverty,280.0
05M154,Reside in temporary housing,66.0
05M154,Students with Disabilities,63.0
05M161,All Students,888.0
05M161,Attend school outside district of residence,244.0
05M161,English Language Learners,239.0
05M161,Poverty,836.0
05M161,Reside in temporary housing,201.0
05M161,Students with Disabilities,195.0
05M175,All Students,344.0
05M175,Attend school outside district of residence,47.0
05M175,English Language Learners,45.0
05M175,Poverty,330.0
05M175,Reside in temporary housing,94.0
05M175,Students with Disabilities,77.0
05M194,All Students,187.0
05M194,Attend school outside district of residence,13.0
05M194,English Language Learners,37.0
05M194,Poverty,179.0
