DBN,Category,#Grade K,#Grade 1,#Grade 2,#Grade 3,#Grade 4,#Grade 5
02M289,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
02M151,Poverty,34,45,32,37,41,32
02M151,Reside in temporary housing,s,9,6,8,9,s
02M151,Students with Disabilities,11,18,18,19,25,16
02M158,All Students,125,139,106,120,91,110
02M158,Attend school outside district of residence,No Data,s,s,6,7,14
02M158,English Language Learners,10,9,s,7,7,s
02M158,Poverty,10,13,12,10,17,23
02M158,Reside in temporary housing,s,s,s,s,s,s
02M158,Students with Disabilities,20,21,20,20,15,25
02M167,All Students,No Data,No Data,No Data,No Data,No Data,No Data
02M167,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
02M167,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
02M167,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
02M167,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
02M167,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
02M177,All Students,No Data,No Data,No Data,No Data,No Data,No Data
02M177,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
02M177,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
02M177,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
02M177,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
02M177,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
02M183,All Students,117,101,74,92,77,94
02M183,Attend school outside district of residence,s,s,s,s,s,s
02M183,English Language Learners,9,9,s,s,s,s
02M183,Poverty,7,s,s,7,9,13
02M183,Reside in temporary housing,s,s,No Data,s,No Data,No Data
02M183,Students with Disabilities,15,13,12,17,23,21
17K484,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
02M198,All Students,77,72,56,75,69,101
02M198,Attend school outside district of residence,s,12,s,12,19,24
02M198,English Language Learners,10,11,s,s,s,s
02M198,Poverty,26,31,24,37,29,57
02M198,Reside in temporary housing,s,No Data,s,s,s,s
02M198,Students with Disabilities,12,9,7,12,15,26
02M212,All Students,56,57,59,56,59,55
02M212,Attend school outside district of residence,6,6,8,9,10,12
02M212,English Language Learners,s,s,s,s,s,s
02M225,Students with Disabilities,s,10,s,10,7,8
02M212,Poverty,8,10,12,13,19,13
02M212,Reside in temporary housing,s,No Data,No Data,No Data,No Data,No Data
02M212,Students with Disabilities,s,8,8,6,16,s
02M217,All Students,87,99,105,75,64,58
02M217,Attend school outside district of residence,16,14,33,23,17,21
02M217,English Language Learners,7,6,15,s,s,s
02M217,Poverty,14,30,35,27,30,22
02M217,Reside in temporary housing,s,s,s,No Data,s,No Data
02M217,Students with Disabilities,10,12,12,7,7,6
02M225,All Students,36,35,33,37,28,38
02M225,Attend school outside district of residence,26,25,29,33,25,35
02M225,English Language Learners,No Data,s,s,s,No Data,s
02M225,Poverty,10,12,14,22,11,18
02M234,All Students,130,133,114,120,100,107
02M234,Attend school outside district of residence,No Data,s,s,No Data,s,s
02M234,English Language Learners,s,s,No Data,s,s,s
02M234,Poverty,s,9,s,No Data,s,s
02M234,Reside in temporary housing,No Data,No Data,s,No Data,No Data,No Data
02M234,Students with Disabilities,13,22,21,21,20,24
18K211,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
02M255,All Students,No Data,No Data,No Data,No Data,No Data,No Data
02M255,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
02M255,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
02M255,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
02M255,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
02M260,All Students,No Data,No Data,No Data,No Data,No Data,No Data
02M260,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
02M260,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
02M260,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
02M260,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
02M260,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
02M267,All Students,88,61,64,66,48,20
02M267,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s
02M267,English Language Learners,6,s,s,s,s,No Data
02M267,Students with Disabilities,15,12,16,13,s,s
02M276,All Students,100,94,96,113,106,114
02M276,Attend school outside district of residence,No Data,No Data,s,s,s,s
02M276,English Language Learners,No Data,s,s,s,s,s
02M276,Poverty,s,s,s,7,s,6
02M276,Reside in temporary housing,No Data,No Data,No Data,s,s,s
02M276,Students with Disabilities,8,20,11,13,16,18
02M281,All Students,62,31,25,No Data,No Data,No Data
02M281,Attend school outside district of residence,s,No Data,s,No Data,No Data,No Data
02M281,English Language Learners,16,s,s,No Data,No Data,No Data
02M281,Poverty,16,14,10,No Data,No Data,No Data
02M281,Reside in temporary housing,No Data,s,No Data,No Data,No Data,No Data
02M281,Students with Disabilities,6,7,6,No Data,No Data,No Data
02M289,All Students,No Data,No Data,No Data,No Data,No Data,No Data
02M312,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
02M289,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
02M289,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
02M289,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
02M290,All Students,112,115,107,86,93,114
02M290,Attend school outside district of residence,s,s,s,s,s,s
02M290,English Language Learners,s,s,8,s,s,s
02M290,Poverty,s,17,10,10,12,s
02M290,Students with Disabilities,19,13,15,10,15,15
02M312,All Students,No Data,No Data,No Data,No Data,No Data,No Data
02M312,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
02M312,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
02M312,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
02M312,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
02M340,All Students,48,37,No Data,No Data,No Data,No Data
02M340,Attend school outside district of residence,s,No Data,No Data,No Data,No Data,No Data
02M340,Poverty,s,s,No Data,No Data,No Data,No Data
02M340,Students with Disabilities,s,s,No Data,No Data,No Data,No Data
02M343,All Students,82,72,48,41,No Data,No Data
02M343,Attend school outside district of residence,s,No Data,s,s,No Data,No Data
02M343,English Language Learners,s,s,s,s,No Data,No Data
02M343,Poverty,9,9,s,s,No Data,No Data
02M343,Reside in temporary housing,s,No Data,No Data,No Data,No Data,No Data
02M343,Students with Disabilities,13,9,11,9,No Data,No Data
02M347,All Students,19,18,14,18,13,19
02M407,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
02M347,Attend school outside district of residence,14,18,9,17,11,17
02M347,English Language Learners,s,No Data,No Data,No Data,No Data,s
02M347,Poverty,13,17,s,14,9,15
02M347,Reside in temporary housing,s,s,s,s,No Data,s
02M347,Students with Disabilities,15,15,10,7,11,9
02M397,All Students,69,64,55,45,66,46
02M397,Attend school outside district of residence,s,s,s,No Data,7,s
02M397,English Language Learners,s,s,s,No Data,No Data,s
02M397,Poverty,7,s,s,s,6,s
02M397,Reside in temporary housing,No Data,No Data,s,No Data,No Data,s
02M397,Students with Disabilities,s,s,7,9,10,8
02M407,All Students,No Data,No Data,No Data,No Data,No Data,No Data
02M407,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
02M407,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
02M407,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
02M408,All Students,No Data,No Data,No Data,No Data,No Data,No Data
02M408,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
02M408,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
02M408,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
02M408,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
02M413,All Students,No Data,No Data,No Data,No Data,No Data,No Data
02M413,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
02M413,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
02M413,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
02M413,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
02M413,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
02M422,All Students,No Data,No Data,No Data,No Data,No Data,No Data
02M422,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
02M422,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
02M422,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
02M422,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
02M422,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
02M442,All Students,No Data,No Data,No Data,No Data,40,44
02M442,Attend school outside district of residence,No Data,No Data,No Data,No Data,40,44
02M442,Poverty,No Data,No Data,No Data,No Data,40,44
02M442,Reside in temporary housing,No Data,No Data,No Data,No Data,s,s
02M442,Students with Disabilities,No Data,No Data,No Data,No Data,s,s
03M145,Attend school outside district of residence,s,8,s,8,11,15
02M527,All Students,79,53,50,49,No Data,No Data
02M527,Attend school outside district of residence,s,s,No Data,No Data,No Data,No Data
02M527,English Language Learners,s,No Data,No Data,No Data,No Data,No Data
02M527,Poverty,9,s,s,7,No Data,No Data
02M527,Reside in temporary housing,s,No Data,No Data,No Data,No Data,No Data
02M527,Students with Disabilities,8,6,12,13,No Data,No Data
02M655,All Students,No Data,No Data,No Data,No Data,No Data,No Data
02M655,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
02M655,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
02M655,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
02M655,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
02M655,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
02M896,All Students,No Data,No Data,No Data,No Data,No Data,No Data
02M896,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
02M896,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
02M896,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
02M896,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
02M896,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
02M933,All Students,No Data,No Data,No Data,No Data,No Data,No Data
02M933,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
02M933,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
02M933,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
02M933,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
02M933,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
03M145,All Students,61,53,53,55,45,52
03M009,All Students,107,102,101,98,79,106
03M009,Attend school outside district of residence,s,s,s,6,s,12
03M009,English Language Learners,9,s,s,s,s,No Data
03M009,Poverty,15,21,18,27,20,25
03M009,Reside in temporary housing,10,10,6,12,s,s
03M009,Students with Disabilities,7,15,15,15,17,16
03M054,All Students,No Data,No Data,No Data,No Data,No Data,No Data
03M054,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
03M054,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
03M054,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
03M054,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
03M054,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
03M075,All Students,102,118,91,92,81,85
03M075,Attend school outside district of residence,27,39,30,34,32,38
03M075,English Language Learners,8,17,19,8,14,9
03M075,Poverty,66,78,69,70,57,59
03M075,Reside in temporary housing,20,14,15,14,8,9
03M075,Students with Disabilities,23,33,33,28,23,22
03M076,All Students,53,48,45,51,49,44
03M076,Attend school outside district of residence,27,27,24,23,29,22
03M076,English Language Learners,s,s,s,s,6,s
03M076,Poverty,46,43,42,49,47,39
03M163,Reside in temporary housing,12,s,12,8,s,7
03M076,Reside in temporary housing,14,11,15,18,9,11
03M076,Students with Disabilities,s,6,s,15,10,9
03M145,English Language Learners,s,11,11,12,s,7
03M084,All Students,85,109,98,75,75,74
03M084,Attend school outside district of residence,21,32,31,20,31,29
03M084,English Language Learners,13,18,13,s,s,s
03M084,Poverty,41,48,50,37,49,45
03M084,Reside in temporary housing,8,7,8,s,12,s
03M084,Students with Disabilities,8,18,17,10,18,14
03M087,All Students,162,145,150,136,122,119
03M087,Attend school outside district of residence,8,13,7,10,12,18
03M087,English Language Learners,9,8,9,s,s,s
03M087,Poverty,11,10,13,8,10,8
